#sample	num_of_est	1-purity_estimate	low_bound	top_bound
TCGA-E9-A295-01A	1	0.375	0.346	0.402
TCGA-E9-A2JS-01A	1	0.256	0.235	0.276
TCGA-E9-A2JT-01A	1	0.842	0.823	0.86
TCGA-E9-A3HO-01A	1	0.171	0.158	0.185
TCGA-E9-A3QA-01A	1	0.854	0.833	0.871
TCGA-E9-A54Y-01A	1	0.156	0.14	0.171
TCGA-E9-A5UO-01A	1	0.128	0.112	0.144
TCGA-E9-A6HE-01A	1	0.407	0.38	0.435
TCGA-EW-A1IX-01A	1	0.428	0.409	0.484
TCGA-EW-A1IY-01A	1	0.522	0.502	0.555
TCGA-EW-A1IZ-01A	1	0.645	0.608	0.672
TCGA-EW-A1J1-01A	1	0.196	0.179	0.211
TCGA-EW-A1J2-01A	1	0.537	0.507	0.565
TCGA-EW-A1J3-01A	1	0.242	0.226	0.258
TCGA-EW-A1J5-01A	1	0.358	0.333	0.381
TCGA-EW-A1J6-01A	1	0.28	0.257	0.303
TCGA-EW-A1OV-01A	1	0.511	0.475	0.548
TCGA-EW-A1OY-01A	1	0.128	0.115	0.14
TCGA-EW-A1OZ-01A	1	0.306	0.281	0.33
TCGA-EW-A1P0-01A	1	0.199	0.182	0.214
TCGA-EW-A1P1-01A	1	0.813	0.796	0.838
TCGA-EW-A1P5-01A	1	0.274	0.256	0.294
TCGA-EW-A1P8-01A	1	0.289	0.264	0.314
TCGA-EW-A1PA-01A	1	0.368	0.342	0.402
TCGA-EW-A1PB-01A	1	0.555	0.534	0.58
TCGA-EW-A1PE-01A	1	0.346	0.323	0.37
TCGA-EW-A1PG-01A	1	0.743	0.721	0.77
TCGA-EW-A1PH-01A	1	0.159	0.143	0.175
TCGA-EW-A2FR-01A	1	0.622	0.602	0.644
TCGA-EW-A2FS-01A	1	0.486	0.459	0.514
TCGA-EW-A2FV-01A	1	0.483	0.457	0.508
TCGA-EW-A2FW-01A	1	0.151	0.137	0.165
TCGA-EW-A423-01A	1	0.186	0.17	0.204
